Order,VR quality,Code name
VRQ_3,Interactive technology,Utilitarian-Interaction
VRQ_1,it was very quick and reactive,Utilitarian-Interaction
VRQ_1,It was interactive,Utilitarian-Interaction
VRQ_2,very helpful to move around like this,Utilitarian-Interaction
VRQ_3,I had control over where to go,Utilitarian-Interaction
VRQ_3,this is interactive.,Utilitarian-Interaction
VRQ_3,I like all the interactions that you can do by clicking just from your screen,Utilitarian-Interaction
VRQ_1,NICE AND INTERACTIVE,Utilitarian-Interaction
VRQ_2,The shots were mostly of interesting places, High-quality Content preparation
VRQ_3,It gave me actual movies of doing things., High-quality Content preparation
VRQ_3,this is a decent selection of areas to explore, High-quality Content preparation
VRQ_3,The information on the sites was good, High-quality Content preparation
VRQ_3,The interface makes sense and is good at being low-profile.,Overall user interface satisfaction 
VRQ_2,"A great deal of ease, no problems doing what I wanted",Easy to use (overall)
VRQ_1,"A lot of sceneries and options, I can visited most beautiful spots",Lots to do
VRQ_2,open for anyone,Utilitarian-Others
VRQ_1,I love the frame rate,frame rate
VRQ_4,"Lighting was nice, everything was bright and filled with colors",Lighting 
VRQ_3,It was relaxing,Relaxing experience
DQ_3,"Considering I could probably spend a few days, just on this virtual tour, then there's no shortage of things to actually see, when I'm there.",0
VRQ_2,Opulent,Luxury experience
VRQ_2,attractive,Attractiveness
VRQ_1,It was well done,General perceived quality
VRQ_2,The tour was excellent,General perceived quality
VRQ_1,this is really neat,Cleaness and neatness
VRQ_3,generally well done,High quality (overall)
VRQ_1,high quality,General perceived quality
VRQ_2,Fantastic!,General perceived quality
VRQ_5,I love technology!,General perceived quality
VRQ_8,I love this!,General perceived quality
VRQ_3,It is high tech,Up to date technology
VRQ_3,I'd like to use this tool to explore other places.,0
VRQ_2,The VR was high quality,General perceived quality
VRQ_3,The VR was thorough,Sofisticated design
VRQ_2,high quality,General perceived quality
VRQ_3,better than paper catalog,0
VRQ_1,It is an incredible technology that allows you to visualize through a computer the destination you would like to visit.,Overall destination preview
VRQ_2,Great Technology,General perceived quality
VRQ_2,Ritzy,Luxury experience
VRQ_2,Well made.,General perceived quality
VRQ_3,Well thought out.,Sofisticated design
VRQ_3,vr is awesome,General perceived quality
VRQ_2,Captivating,Engaging experience
VRQ_2,Breathtaking,Excitement
VRQ_3,It is amazing that this technology exists to give me this experience,General perceived quality
VRQ_1,This is great technology,General perceived quality
VRQ_3,The key provided helps you determine what you want to click on.,Ability to click on destination labels
